ts,level,level_rate,ai_s,risk_score
2025-12-19 13:41:55,95.750,89.28000,21600.000,10.0
2025-12-19 13:42:00,56.190,92.04000,21600.000,10.0
2025-12-19 13:42:05,27.060,67.38000,21600.000,10.0
2025-12-19 13:42:10,57.510,95.91000,21600.000,10.0
2025-12-19 13:42:15,85.250,78.25000,21600.000,10.0
2025-12-19 13:42:20,42.700,3.93000,21600.000,10.0
2025-12-19 13:42:25,87.990,27.32000,21600.000,10.0
2025-12-19 13:42:30,43.760,96.38000,21600.000,10.0
2025-12-19 13:42:35,43.010,53.65000,21600.000,10.0
2025-12-19 13:42:40,83.380,3.07000,21600.000,10.0
2025-12-19 13:42:45,85.820,1.59000,21600.000,10.0
2025-12-19 13:42:50,13.720,7.29000,21600.000,10.0
2025-12-19 13:42:55,54.140,24.91000,21600.000,10.0
2025-12-19 13:43:00,18.270,68.69000,21600.000,10.0
2025-12-19 13:43:05,35.420,16.51000,21600.000,10.0
2025-12-19 13:43:10,17.970,85.54000,21600.000,10.0
2025-12-19 13:43:15,66.100,23.73000,21600.000,10.0
2025-12-19 13:43:20,61.430,40.42000,21600.000,10.0
2025-12-19 13:43:25,33.910,53.76000,21600.000,10.0
2025-12-19 13:43:30,70.350,85.55000,21600.000,10.0
2025-12-19 13:43:35,35.580,81.31000,21600.000,10.0
2025-12-19 13:43:40,42.720,50.34000,21600.000,10.0
2025-12-19 13:43:45,58.150,58.05000,21600.000,10.0
2025-12-19 13:43:50,29.330,52.82000,21600.000,10.0
2025-12-19 13:43:55,32.530,48.68000,21600.000,10.0
2025-12-19 13:44:00,17.160,28.94000,21600.000,10.0
2025-12-19 13:44:05,30.820,61.45000,21600.000,10.0
2025-12-19 13:44:10,0.740,43.66000,21600.000,10.0
2025-12-19 13:44:15,54.150,25.50000,21600.000,10.0
2025-12-19 13:44:20,17.170,12.59000,21600.000,10.0
2025-12-19 13:44:25,74.120,59.60000,21600.000,10.0
2025-12-19 13:44:30,51.700,46.58000,21600.000,10.0
2025-12-19 13:44:35,31.330,29.85000,21600.000,10.0
2025-12-19 13:44:40,44.250,31.02000,21600.000,10.0
2025-12-19 13:44:45,49.550,67.05000,21600.000,10.0
2025-12-19 13:44:50,51.570,29.14000,21600.000,10.0
2025-12-19 13:44:55,40.280,18.64000,21600.000,10.0
2025-12-19 13:45:00,71.230,13.95000,21600.000,10.0
2025-12-19 13:45:05,84.860,96.53000,21600.000,10.0
2025-12-19 13:45:10,62.100,68.21000,21600.000,10.0
2025-12-19 13:45:15,24.660,73.60000,21600.000,10.0
2025-12-19 13:45:20,64.810,73.60000,21600.000,10.0
2025-12-19 13:45:25,27.380,31.61000,21600.000,10.0
