ts,level,level_rate
2025-12-19 13:41:55,95.75,89.28
2025-12-19 13:42:00,56.19,92.04
2025-12-19 13:42:05,27.06,67.38
2025-12-19 13:42:10,57.51,95.91
2025-12-19 13:42:15,85.25,78.25
2025-12-19 13:42:20,42.7,3.93
2025-12-19 13:42:25,87.99,27.32
2025-12-19 13:42:30,43.76,96.38
2025-12-19 13:42:35,43.01,53.65
2025-12-19 13:42:40,83.38,3.07
2025-12-19 13:42:45,85.82,1.59
2025-12-19 13:42:50,13.72,7.29
2025-12-19 13:42:55,54.14,24.91
2025-12-19 13:43:00,18.27,68.69
2025-12-19 13:43:05,35.42,16.51
2025-12-19 13:43:10,17.97,85.54
2025-12-19 13:43:15,66.1,23.73
2025-12-19 13:43:20,61.43,40.42
2025-12-19 13:43:25,33.91,53.76
2025-12-19 13:43:30,70.35,85.55
2025-12-19 13:43:35,35.58,81.31
2025-12-19 13:43:40,42.72,50.34
2025-12-19 13:43:45,58.15,58.05
2025-12-19 13:43:50,29.33,52.82
2025-12-19 13:43:55,32.53,48.68
2025-12-19 13:44:00,17.16,28.94
2025-12-19 13:44:05,30.82,61.45
2025-12-19 13:44:10,0.74,43.66
2025-12-19 13:44:15,54.15,25.5
2025-12-19 13:44:20,17.17,12.59
2025-12-19 13:44:25,74.12,59.6
2025-12-19 13:44:30,51.7,46.58
2025-12-19 13:44:35,31.33,29.85
2025-12-19 13:44:40,44.25,31.02
2025-12-19 13:44:45,49.55,67.05
2025-12-19 13:44:50,51.57,29.14
2025-12-19 13:44:55,40.28,18.64
2025-12-19 13:45:00,71.23,13.95
2025-12-19 13:45:05,84.86,96.53
2025-12-19 13:45:10,62.1,68.21
2025-12-19 13:45:15,24.66,73.6
2025-12-19 13:45:20,64.81,73.6
2025-12-19 13:45:25,27.38,31.61
2025-12-19 13:45:30,49.21,52.93
2025-12-19 13:45:35,58.15,78.73
2025-12-19 13:45:40,23.46,68.05
2025-12-19 13:45:45,54.95,39.45
2025-12-19 13:45:50,39.13,48.18
2025-12-19 13:45:55,99.69,76.98
2025-12-19 13:46:00,73.24,21.3
2025-12-19 13:46:05,2.68,40.68
2025-12-19 13:46:10,86.91,63.62
2025-12-19 13:46:15,12.3,98.38
2025-12-19 13:46:20,10.07,52.67
2025-12-19 13:46:25,69.37,40.5
2025-12-19 13:46:30,94.24,21.09
2025-12-19 13:46:35,54.84,75.59
2025-12-19 13:46:40,19.08,45.25
2025-12-19 13:46:45,76.73,52.23
2025-12-19 13:46:50,67.28,38.77
2025-12-19 13:46:55,79.11,35.61
2025-12-19 13:47:00,11.98,11.48
2025-12-19 13:47:05,9.95,35.56
2025-12-19 13:47:10,34.05,69.88
2025-12-19 13:47:15,19.76,5.03
2025-12-19 13:47:20,27.34,98.63
2025-12-19 13:47:25,5.28,55.43
2025-12-19 13:47:30,82.39,80.39
2025-12-19 13:47:35,75.47,70.74
2025-12-19 13:47:40,91.44,48.88
2025-12-19 13:47:45,29.73,16.74
2025-12-19 13:47:50,38.68,49.17
2025-12-19 13:47:55,16.8,97.44
2025-12-19 13:48:00,28.7,28.4
2025-12-19 13:48:05,27.19,93.82
2025-12-19 13:48:10,89.04,92.93
2025-12-19 13:48:15,50.37,54.73
2025-12-19 13:48:20,95.53,40.13
2025-12-19 13:48:25,44.7,62.59
2025-12-19 13:48:30,99.32,79.19
2025-12-19 13:48:35,72.45,88.28
2025-12-19 13:48:40,61.42,39.67
2025-12-19 13:48:45,2.77,0.4
2025-12-19 13:48:50,93.06,44.66
2025-12-19 13:48:55,26.69,51.11
2025-12-19 13:49:00,11.79,16.47
2025-12-19 13:49:05,52.37,1.52
2025-12-19 13:49:10,34.38,1.89
2025-12-19 13:49:15,27.95,96.69
2025-12-19 13:49:20,22.22,21.92
2025-12-19 13:49:25,76.91,22.86
2025-12-19 13:49:30,80.08,53.65
2025-12-19 13:49:35,51.35,20.22
2025-12-19 13:49:40,56.49,89.83
2025-12-19 13:49:45,98.17,39.43
2025-12-19 13:49:50,34.66,66.84
2025-12-19 13:49:55,79.54,97.12
2025-12-19 13:50:00,54.81,35.48
2025-12-19 13:50:05,26.08,16.77
2025-12-19 13:50:10,0.51,31.86
2025-12-19 13:50:15,69.59,79.73
2025-12-19 13:50:20,32.03,97.73
2025-12-19 13:50:25,64.19,3.09
2025-12-19 13:50:30,25.22,78.35
2025-12-19 13:50:35,87.92,0.8
2025-12-19 13:50:40,37.96,32.84
2025-12-19 13:50:45,3.35,45.18
2025-12-19 13:50:50,56.37,23.24
2025-12-19 13:50:55,31.05,30.15
2025-12-19 13:51:00,67.21,83.87
2025-12-19 13:51:05,64.34,9.2
2025-12-19 13:51:10,52.5,70.39
2025-12-19 13:51:15,9.23,1.34
2025-12-19 13:51:20,59.45,36.77
2025-12-19 13:51:25,11.7,90.8
2025-12-19 13:51:30,20.69,40.82
2025-12-19 13:51:35,26.58,79.49
2025-12-19 13:51:40,12.29,59.84
2025-12-19 13:51:45,81.64,25.73
2025-12-19 13:51:50,66.25,34.11
2025-12-19 13:51:55,60.18,91.47
2025-12-19 13:52:00,49.57,41.87
2025-12-19 13:52:05,7.39,53.74
2025-12-19 13:52:10,43.89,98.57
2025-12-19 13:52:15,7.69,62.48
2025-12-19 13:52:20,9.62,0.97
2025-12-19 13:52:25,85.26,58.94
2025-12-19 13:52:30,80.58,65.52
2025-12-19 13:52:35,43.07,39.68
2025-12-19 13:52:40,83.67,89.68
2025-12-19 13:52:45,96.18,14.13
2025-12-19 13:52:50,66.51,61.39
2025-12-19 13:52:55,58.41,47.52
2025-12-19 13:53:00,95.59,71.8
2025-12-19 13:53:05,47.53,92.39
2025-12-19 13:53:11,21.14,99.72
2025-12-19 13:53:16,70.01,2.03
2025-12-19 13:53:21,23.67,92.48
2025-12-19 13:53:26,96.15,33.27
2025-12-19 13:53:31,17.24,89.51
2025-12-19 13:53:36,39.89,91.55
2025-12-19 13:53:41,22.9,0.22
2025-12-19 13:53:46,40.16,50.65
2025-12-19 13:53:51,2.13,49.97
2025-12-19 13:53:56,59.28,47.36
2025-12-19 13:54:01,52.18,22.18
2025-12-19 13:54:06,7.44,75.29
2025-12-19 13:54:11,70.65,1.49
2025-12-19 13:54:16,1.94,52.13
2025-12-19 13:54:21,63.16,12.53
2025-12-19 13:54:26,20.32,13.67
2025-12-19 13:54:31,51.48,10.35
